Lat,Lon,Best_Model,R2
26.25,84.0,LSTM,0.11927596705049459
26.5,70.5,RNN,-0.1252974189808338
26.5,71.25,SARIMA,-0.001655326743000396
26.5,71.5,PCHIP,-0.0009502088258042107
26.5,71.75,LSTM,-0.24680200888584447
26.5,72.75,RNN,-1.9692270636281286
26.5,73.0,SARIMA,-41.85091395182469
26.5,73.25,SARIMA,-0.04686609368566552
26.5,73.5,PCHIP,1.0
26.5,74.0,PCHIP,-1.4999999999996452
26.5,74.25,RNN,0.0423304611815678
26.5,74.5,SARIMA,-0.48821646338223923
26.5,74.75,RNN,0.04919545096116262
26.5,75.25,LSTM,-0.1641156196993241
26.5,75.5,PCHIP,-0.2006316761765492
26.5,75.75,RNN,-0.8741066145382588
26.5,76.0,SARIMA,-0.5506315848261536
26.5,76.25,SARIMA,-1.2289194011660882
26.5,76.5,SARIMA,-0.2809241313238746
26.5,76.75,LSTM,-0.20606632143751824
26.5,77.0,SARIMA,-0.32672252582924144
26.5,77.25,RNN,0.02550584795491284
26.5,77.5,SARIMA,-2.4446747746310975
26.5,77.75,SARIMA,-0.2352362229854792
26.5,78.75,RNN,-154.50716888843306
26.5,79.0,SARIMA,-1.257832835234904
26.5,79.25,SARIMA,0.051432760343982364
26.5,79.5,RNN,-0.1970787241456482
26.5,79.75,RNN,-0.34861138956690585
26.5,80.0,RNN,0.126148188114811
26.5,80.25,SARIMA,0.11533195917973182
26.5,80.5,SARIMA,-0.13097153025289998
26.5,80.75,LSTM,-0.37670985749639363
26.5,81.0,SARIMA,0.3753392856121939
26.5,81.25,SARIMA,0.45739383476515416
26.5,81.5,LSTM,0.3301139076886831
26.5,81.75,SARIMA,-3.6374802705593847
26.5,82.0,LSTM,0.1443259325800088
26.5,82.25,RNN,0.35487338890861087
26.5,82.5,RNN,0.40577943770984226
26.5,82.75,SARIMA,0.007105322397487068
26.5,83.0,RNN,-0.038951524016810124
26.5,83.25,SARIMA,0.017264191709142618
26.5,83.5,LSTM,0.11258364786150421
26.5,83.75,SARIMA,0.4082133833733199
26.5,84.0,LSTM,0.13448785618568537
26.75,70.5,SARIMA,-0.9958927398894939
26.75,70.75,PCHIP,-0.0003674582063966092
26.75,71.0,RNN,-1.7759648244237338
26.75,71.25,SARIMA,0.3144655930269732
26.75,71.5,RNN,0.027890612323287378
26.75,71.75,RNN,-0.015741855201025556
26.75,72.0,RNN,-0.08477260722131774
26.75,72.25,SARIMA,-2.2997145391189817
26.75,72.75,RNN,-18.68541866746367
26.75,73.0,PCHIP,1.0
26.75,73.25,SARIMA,0.05465205001639206
26.75,74.0,SARIMA,-0.8419164949118869
26.75,74.25,LSTM,-0.14972206474752747
26.75,74.5,RNN,-0.0891953280010771
26.75,75.0,RNN,-0.23600696127385512
26.75,75.25,SARIMA,-0.7360163331172644
26.75,75.5,PCHIP,-0.38522658842672186
26.75,75.75,RNN,-0.6250379840414793
26.75,76.0,RNN,-15.37714630241275
26.75,76.25,SARIMA,-0.46374810643340303
26.75,76.5,SARIMA,-1.0213611809495027
26.75,76.75,RNN,0.0895195851805286
26.75,77.0,PCHIP,-0.22497000573058634
26.75,77.25,LSTM,-3.0299247410532058
26.75,77.5,RNN,-0.6927762689107002
26.75,77.75,SARIMA,0.01843373326782627
26.75,78.0,SARIMA,-1.5895655516439082
26.75,78.25,LSTM,-0.3283993304242221
26.75,78.5,PCHIP,-1.1319884507736386
26.75,78.75,SARIMA,-13.545185223120136
26.75,79.0,SARIMA,-0.729586016039993
26.75,79.25,SARIMA,-0.06420115325662978
26.75,79.5,LSTM,0.008829975276052893
26.75,79.75,LSTM,-0.6832680902552204
26.75,80.0,LSTM,-7.377908069816918
26.75,80.25,SARIMA,0.12802360352861997
26.75,80.5,LSTM,0.29331920243318177
26.75,80.75,SARIMA,-1.8948664798221921
26.75,81.0,LSTM,0.20294201641643728
26.75,81.25,SARIMA,0.07990084579531542
26.75,81.5,RNN,0.06323600370521754
26.75,81.75,LSTM,0.0256603869838552
26.75,82.0,SARIMA,-2.594949081645186
26.75,82.25,RNN,0.008766389734537805
26.75,82.5,RNN,0.13179016465340587
26.75,82.75,LSTM,0.06446239337186066
26.75,83.0,RNN,0.19367899205347827
26.75,83.25,LSTM,-1.364373260145992
26.75,83.5,RNN,0.4192543379970285
26.75,83.75,RNN,0.475052036131133
27.0,70.0,LSTM,-770.5897177038155
27.0,70.25,SARIMA,-3.344042482262723
27.0,70.5,SARIMA,-5.621250153506205
27.0,70.75,SARIMA,-0.42610853382334346
27.0,71.0,RNN,-0.023374022734265143
27.0,71.5,LSTM,-1.1747095042868763
27.0,71.75,RNN,-0.23794550084943467
27.0,72.0,LSTM,-5.1719244651249765
27.0,72.25,RNN,-0.600995158931144
27.0,73.25,SARIMA,-0.8972279289921485
27.0,73.75,SARIMA,-5.393544632393521
27.0,74.0,LSTM,0.15329271901998776
27.0,74.25,LSTM,-0.3964421627317538
27.0,74.75,SARIMA,-0.9524367225171044
27.0,75.25,SARIMA,0.0605186174480663
